id,campaign_url,title_wc,short_wc,story_wc,collected_amt,donation_target_amt,is_org,img_cnt,vid_cnt,donor_cnt,fundraiser_cnt,update_cnt,reward_cnt,max_reward,min_reward,total_weight,median_weight,avg_weight,fb_reaction_count,fb_comment_count,fb_share_count
1998,https://kitabisa.com/helpbusiti,7.0,21.0,400.0,8362812.0,50000000,1.0,19.0,0.0,50.0,1.0,4.0,0.0,0.0,0.0,0.34175429344499997,0.000548575268288,0.000384425526935,3,0,5
1999,https://kitabisa.com/jalananberbagi,5.0,12.0,404.0,5801193.0,20000000,0.0,27.0,0.0,18.0,0.0,2.0,0.0,0.0,0.0,0.310775227675,0.000311461149989,0.00024166036366599997,6,0,8
2000,https://kitabisa.com/tamkesi,6.0,22.0,698.0,2882145.0,23328000,0.0,9.0,0.0,14.0,1.0,2.0,0.0,0.0,0.0,0.302585130843,0.0,0.00019920021780300002,70,0,18
2001,https://kitabisa.com/acehbangkit,2.0,9.0,122.0,500000.0,25000000,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.414619512623,0.0,0.000199624223699,8,0,1
2002,https://kitabisa.com/actgempaaceh,5.0,14.0,152.0,87067430.0,20000000,1.0,16.0,0.0,208.0,1.0,4.0,0.0,0.0,0.0,0.165437994968,0.00107287700076,0.000279456072582,206,4,80
2003,https://kitabisa.com/dukungtemuseniflores,5.0,20.0,721.0,4004405.0,100000000,0.0,15.0,0.0,13.0,0.0,1.0,4.0,3000000.0,100000.0,0.120356295488,0.0005585855415349999,0.00020026005904799998,427,64,90
2005,https://kitabisa.com/kakipalsubuemi,6.0,15.0,243.0,727863.0,4500000,0.0,7.0,0.0,5.0,1.0,1.0,1.0,100000.0,100000.0,0.327937641474,0.00044764326418900006,0.00021062147814700002,7,0,2
2006,https://kitabisa.com/kampoengimpianbrkara,4.0,17.0,635.0,300308.0,50000000,0.0,11.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.23777550949700002,0.000736710343881,0.000268976820698,25,2,15
2007,https://kitabisa.com/annuurtegalparang,5.0,19.0,164.0,351188.0,400000000,0.0,5.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.494436943592,0.000287985078905,0.000195661631813,23,0,22
2008,https://kitabisa.com/nr4timothy,5.0,20.0,251.0,5097538.0,8000000,0.0,10.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.12550275535900002,0.0,0.000241816484313,1,0,1
2009,https://kitabisa.com/bantubayiali,5.0,14.0,416.0,5201599.0,300000000,0.0,4.0,0.0,43.0,0.0,4.0,0.0,0.0,0.0,0.372030119745,0.0,0.00047696169198100004,104,57,26
2010,https://kitabisa.com/saungilmukasgi,2.0,16.0,336.0,1246295.0,8000000,0.0,4.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.31280282759100003,0.000463566356761,0.00020338285279,149,15,46
2011,https://kitabisa.com/ronaldrunforcharity,5.0,24.0,387.0,100116.0,4000000,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.214234691488,0.0,0.00019335260964700003,1,0,2
2012,https://kitabisa.com/barkahinginkuliah,3.0,13.0,391.0,11590494.0,2400000,0.0,4.0,1.0,56.0,1.0,2.0,0.0,0.0,0.0,0.290082230794,0.0,0.000182556469978,726,214,190
2013,https://kitabisa.com/hadiahuntukakek,4.0,9.0,656.0,270330.0,2000000,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.214446047208,0.0,0.000175057997721,1,0,3
2014,https://kitabisa.com/gen,6.0,16.0,826.0,663630.0,200000000,0.0,13.0,0.0,10.0,0.0,1.0,2.0,10000000.0,5000000.0,0.516212241931,0.0008858564909330001,0.00029197524996099996,12,0,4
2015,https://kitabisa.com/danapendidikan,2.0,11.0,109.0,300364.0,9375000,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.665284386317,0.0,0.00019430034647099998,0,0,1
2016,https://kitabisa.com/alanda26,7.0,13.0,442.0,16112759.0,11000000,0.0,2.0,0.0,54.0,0.0,3.0,1.0,350000.0,350000.0,0.105106026355,0.0012001787859200002,0.000256982949523,118,2,27
2017,https://kitabisa.com/ulangtahuniqbal,5.0,24.0,627.0,7570571.0,1500000,0.0,22.0,0.0,53.0,1.0,5.0,2.0,200000.0,100000.0,0.224302488281,0.0,0.000183553591065,9,0,5
2018,https://kitabisa.com/nr4dita,5.0,20.0,251.0,88098365.0,100000000,0.0,5.0,0.0,29.0,0.0,1.0,0.0,0.0,0.0,0.5109720786199999,0.00034497385471199995,0.000243320037438,1,0,3
2019,https://kitabisa.com/sintesa,7.0,21.0,401.0,59831566.0,200000000,0.0,7.0,1.0,111.0,4.0,4.0,3.0,5000000.0,500000.0,0.372030119745,0.0,0.00047696169198100004,1400,87,84
2020,https://kitabisa.com/sitirunforcharity,5.0,22.0,184.0,2301027.0,1000000,0.0,6.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.494464943711,0.0016005931219900001,0.000347969700007,26,2,3
2021,https://kitabisa.com/piknikpintar,2.0,23.0,289.0,21676326.0,20000000,0.0,7.0,0.0,68.0,0.0,1.0,0.0,0.0,0.0,0.15508997231,0.0,0.00022908415407599998,53,1,11
2022,https://kitabisa.com/abduntukpaktukimo,6.0,12.0,419.0,3871741.0,13000000,0.0,11.0,0.0,21.0,0.0,2.0,0.0,0.0,0.0,0.20408937587,0.0,0.00020166934374500002,26,4,12
2023,https://kitabisa.com/adisusanto,9.0,20.0,647.0,63310529.0,60000000,0.0,14.0,0.0,340.0,4.0,3.0,0.0,0.0,0.0,0.32898172367199996,0.0,0.000221536514257,575,117,296
2024,https://kitabisa.com/senyumcantikdicha,7.0,15.0,372.0,10776068.0,10000000,0.0,2.0,0.0,36.0,0.0,1.0,0.0,0.0,0.0,0.44651648986500003,0.0005181991321509999,0.000205106334343,6,1,9
2025,https://kitabisa.com/hadiahrumahcinta,6.0,20.0,450.0,5659831.0,25000000,0.0,16.0,0.0,24.0,1.0,1.0,0.0,0.0,0.0,0.24742699076400002,0.0,0.000214222502826,7,0,2
2026,https://kitabisa.com/inspirasi1000yatim,8.0,23.0,1201.0,3444658.0,100000000,0.0,17.0,5.0,20.0,1.0,2.0,0.0,0.0,0.0,0.329279966066,0.0,0.00023042684819099999,3498,30,50
2027,https://kitabisa.com/banjirbandangsumbawa,6.0,20.0,307.0,2350659.0,500000000,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.00071794942,0.0,0.000222036376618,2,0,4
2028,https://kitabisa.com/nr4fadliz,5.0,20.0,251.0,1746787.0,1700000,0.0,9.0,0.0,7.0,1.0,1.0,1.0,20000.0,20000.0,0.313631047218,0.000873807911762,0.000264891087178,8,0,4
2029,https://kitabisa.com/rprumahsantri,6.0,22.0,285.0,11225256.0,300000000,0.0,9.0,0.0,8.0,0.0,1.0,1.0,1000000.0,1000000.0,0.372030119745,0.0,0.00047696169198100004,639,2,51
2030,https://kitabisa.com/jamalhitamputih,4.0,8.0,258.0,155260.0,50000000,0.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.219579963579,0.0,0.00021297765623500003,0,0,0
2031,https://kitabisa.com/nr4rachmat,5.0,20.0,251.0,8277339.0,10000000,0.0,9.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.199515754095,0.00012023823115000002,0.000208045624708,0,0,0
2032,https://kitabisa.com/ginadigitaldetox,6.0,27.0,986.0,3418058.0,7000000,0.0,8.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.372030119745,0.0,0.00047696169198100004,57,1,8
2033,https://kitabisa.com/tolongfaisol,5.0,23.0,329.0,270737.0,425000000,0.0,5.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1.8603156233900002,0.000642634257797,0.00033321075109900007,252,5,27
2034,https://kitabisa.com/patunganerna,6.0,15.0,394.0,10203331.0,10000000,0.0,8.0,0.0,22.0,1.0,2.0,0.0,0.0,0.0,0.145661026,0.0,0.00012513833848799998,22,1,8
2035,https://kitabisa.com/peduliiburina,5.0,25.0,95.0,5586575.0,16500000,0.0,3.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.261398097073,0.0,0.00019893310279499998,0,0,0
2036,https://kitabisa.com/bahagiauntukabiel,4.0,14.0,949.0,12890873.0,25000000,0.0,11.0,0.0,66.0,1.0,3.0,1.0,500000.0,500000.0,0.10061380284299999,0.000729645374542,0.00029944584179400003,181,28,145
2037,https://kitabisa.com/sedekahtahfidz,7.0,15.0,141.0,1260220.0,50000000,0.0,2.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.403247206024,0.0,0.000166906956136,46,0,20
2038,https://kitabisa.com/bantubayirafanka,5.0,11.0,45.0,3900533.0,100000000,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.08589141810550001,0.0,0.00015202020903600001,79,44,36
